web-scraper-order,web-scraper-start-url,getcomments
"1618405986-123","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-86","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 6"
"1618405986-247","https://www.instagram.com/p/CNoSB5ZDGfI/","4!"
"1618405986-171","https://www.instagram.com/p/CNoSB5ZDGfI/","8!!"
"1618405986-37","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-117","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8!"
"1618405986-184","https://www.instagram.com/p/CNoSB5ZDGfI/","6!"
"1618405986-280","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 9"
"1618405986-58","https://www.instagram.com/p/CNoSB5ZDGfI/","4 & 8"
"1618405986-55","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-319","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-47","https://www.instagram.com/p/CNoSB5ZDGfI/","6 and 8"
"1618405986-69","https://www.instagram.com/p/CNoSB5ZDGfI/","6 and 8"
"1618405986-33","https://www.instagram.com/p/CNoSB5ZDGfI/","6!!"
"1618405986-44","https://www.instagram.com/p/CNoSB5ZDGfI/","2,5"
"1618405986-250","https://www.instagram.com/p/CNoSB5ZDGfI/","7 & 7"
"1618405986-76","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-204","https://www.instagram.com/p/CNoSB5ZDGfI/","7"
"1618405986-61","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-192","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-295","https://www.instagram.com/p/CNoSB5ZDGfI/","6, 7"
"1618405986-221","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-351","https://www.instagram.com/p/CNoSB5ZDGfI/","7 and 8"
"1618405986-153","https://www.instagram.com/p/CNoSB5ZDGfI/","#9 ❤️"
"1618405986-113","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-257","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-84","https://www.instagram.com/p/CNoSB5ZDGfI/","1 & 8"
"1618405986-299","https://www.instagram.com/p/CNoSB5ZDGfI/","7 & 8"
"1618405986-335","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-35","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-222","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8!"
"1618405986-160","https://www.instagram.com/p/CNoSB5ZDGfI/","6$7"
"1618405986-260","https://www.instagram.com/p/CNoSB5ZDGfI/","5🔥"
"1618405986-189","https://www.instagram.com/p/CNoSB5ZDGfI/","8 🔥"
"1618405986-349","https://www.instagram.com/p/CNoSB5ZDGfI/","7"
"1618405986-225","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-313","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-148","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
